farmer_id,barangay,elevation_masl,soil_pH,annual_rainfall_mm,mean_temperature_C,coffee_species,planting_system,farm_ownership,rsbsa_registered,years_in_farming,bearing_trees,non_bearing_trees,annual_yield_kg,processing_method,moisture_content_pct,defect_count_per_300g,selective_picking_practiced,farm_records_maintained,sales_records_maintained,cooperative_member,geographic_compliance,traditional_method_compliance,quality_linkage_documented,gi_ready
F0153,Pinagkawitan,500.0,5.32,1338.0,27.0,Liberica,Agroforestry,Leased,No,2,320,116,509,Washed,12.57,26,No,No,No,No,No,Yes,No,0
F0154,San Benito,189.3,5.92,3081.6,27.4,Excelsa,Agroforestry,Owned,No,13,299,106,163,Washed,10.75,20,Yes,No,No,Yes,Yes,No,Yes,0
F0155,Bolbok,426.4,5.02,2213.8,27.2,Liberica,Agroforestry,Owned,Yes,16,114,28,1746,Washed,10.6,4,No,No,Yes,Yes,Yes,Yes,Yes,1
F0156,Poblacion Barangay,219.1,5.49,2018.8,24.7,Robusta,Monocrop,Owned,Yes,18,114,39,945,Washed,13.58,34,No,Yes,No,Yes,Yes,No,No,0
F0157,Barangay III,149.7,6.45,2821.8,24.7,Liberica,Monocrop,Leased,Yes,7,334,87,964,Washed,10.54,20,Yes,No,No,Yes,No,Yes,Yes,1
F0158,Lodlod,221.6,6.98,2871.7,22.6,Robusta,Agroforestry,Shared,Yes,36,24,74,384,Natural,11.68,3,Yes,No,Yes,Yes,No,No,Yes,1
F0159,Pangao,461.1,5.2,1864.4,25.8,Liberica,Monocrop,Owned,Yes,41,184,44,613,Washed,13.17,15,Yes,No,Yes,No,Yes,Yes,Yes,1
F0160,Bagong Pook,527.8,5.8,2587.2,23.8,Liberica,Agroforestry,Owned,No,30,268,58,1551,Washed,9.48,30,Yes,Yes,Yes,No,Yes,Yes,No,1
F0161,Santol,515.1,6.6,2742.2,25.1,Robusta,Agroforestry,Leased,No,42,220,113,654,Washed,12.57,25,Yes,Yes,Yes,No,Yes,No,Yes,1
F0162,Tangob,298.6,5.41,2509.3,22.9,Liberica,Agroforestry,Leased,Yes,41,268,48,1160,Natural,12.54,34,Yes,No,Yes,Yes,Yes,Yes,Yes,1
F0163,Barangay II,434.0,6.11,1503.2,25.6,Liberica,Agroforestry,Shared,Yes,7,111,66,319,Natural,13.11,5,Yes,Yes,Yes,No,No,Yes,Yes,1
F0164,Pangao,202.5,6.47,2951.8,26.4,Liberica,Agroforestry,Leased,No,15,269,110,854,Washed,11.22,32,Yes,Yes,Yes,No,Yes,Yes,No,1
F0165,Pangao,246.6,6.23,2278.2,20.3,Liberica,Monocrop,Shared,No,40,353,103,658,Washed,11.69,20,No,Yes,Yes,No,Yes,Yes,Yes,1
F0166,Tambo,548.2,5.38,1764.9,26.5,Liberica,Agroforestry,Owned,Yes,19,168,72,1048,Natural,10.98,15,Yes,Yes,Yes,Yes,No,Yes,Yes,1
F0167,Tambo,106.5,5.71,2050.5,23.9,Liberica,Monocrop,Owned,Yes,43,54,37,661,Honey,13.85,38,Yes,Yes,Yes,Yes,Yes,No,No,1
F0168,Kayumanggi,142.8,6.57,1275.1,26.6,Excelsa,Agroforestry,Owned,Yes,37,310,81,1200,Natural,9.78,33,Yes,Yes,No,No,No,Yes,No,0
F0169,Pinagtongulan,203.9,6.11,1455.7,22.9,Liberica,Agroforestry,Leased,Yes,2,260,60,356,Honey,14.78,41,Yes,Yes,No,No,No,Yes,No,0
F0170,Barangay VII,113.3,5.01,2731.1,22.4,Liberica,Agroforestry,Owned,Yes,42,340,40,1468,Natural,12.81,14,Yes,Yes,Yes,No,No,Yes,No,1
F0171,Pangao,190.7,6.52,1200.0,27.2,Liberica,Agroforestry,Owned,Yes,13,174,58,239,Natural,14.32,5,Yes,Yes,Yes,No,Yes,No,Yes,1
F0172,Malagonlong,391.5,5.07,2033.1,21.3,Liberica,Agroforestry,Owned,Yes,40,202,111,1349,Washed,11.56,1,Yes,Yes,No,No,Yes,No,Yes,1
F0173,San Jose,310.7,6.49,2245.0,26.6,Excelsa,Agroforestry,Owned,Yes,41,18,23,1451,Washed,10.99,23,Yes,Yes,Yes,No,No,Yes,Yes,1
F0174,Quezon,546.3,5.4,1309.3,23.4,Liberica,Agroforestry,Shared,Yes,43,383,47,1156,Washed,14.4,27,Yes,Yes,No,No,Yes,Yes,No,1
F0175,Anilao,508.7,6.92,3146.2,23.6,Arabica,Agroforestry,Owned,Yes,43,74,16,665,Natural,9.59,0,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0176,Mojon,270.9,5.74,1652.3,21.8,Liberica,Monocrop,Owned,No,31,396,15,1561,Honey,9.7,0,No,No,No,Yes,Yes,No,No,1
F0177,Bolbok,229.7,5.65,1808.4,24.2,Robusta,Agroforestry,Leased,No,16,291,74,897,Washed,10.8,27,Yes,Yes,Yes,Yes,Yes,No,No,1
F0178,San Salvador,289.8,5.3,1807.9,21.9,Liberica,Agroforestry,Owned,Yes,42,190,16,1262,Washed,14.76,35,Yes,Yes,No,Yes,No,No,Yes,1
F0179,Balintawak,395.1,5.61,1660.8,19.4,Excelsa,Agroforestry,Leased,Yes,44,291,95,457,Washed,12.8,19,Yes,No,No,Yes,Yes,Yes,Yes,1
F0180,San Jose,234.0,6.75,1202.9,21.4,Liberica,Monocrop,Leased,No,6,288,45,422,Washed,12.33,7,No,Yes,No,Yes,Yes,Yes,Yes,1
F0181,Barangay II,412.1,6.99,2658.7,19.1,Liberica,Monocrop,Shared,Yes,28,39,29,855,Washed,13.23,0,Yes,No,No,Yes,No,Yes,Yes,1
F0182,Barangay IV,304.7,5.74,3133.7,27.8,Liberica,Agroforestry,Shared,Yes,32,275,110,945,Washed,11.5,25,No,No,Yes,No,No,Yes,Yes,1
F0183,Mojon,376.0,5.9,1648.6,27.7,Liberica,Agroforestry,Owned,Yes,44,337,7,1162,Honey,13.55,42,No,Yes,Yes,Yes,Yes,Yes,No,1
F0184,Barangay V,318.1,6.44,2526.1,22.6,Excelsa,Agroforestry,Owned,Yes,10,226,7,377,Washed,11.36,24,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0185,San Carlos,247.2,6.77,2683.8,25.6,Liberica,Monocrop,Owned,Yes,18,329,88,79,Washed,13.96,9,Yes,Yes,Yes,No,Yes,No,Yes,1
F0186,Quezon,574.2,6.19,2896.9,22.1,Liberica,Monocrop,Owned,No,4,388,32,945,Washed,10.6,11,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0187,Santol,481.8,5.78,2045.3,25.0,Robusta,Agroforestry,Owned,Yes,9,114,27,1158,Washed,10.67,40,Yes,Yes,No,No,No,No,No,1
F0188,Tambo,170.1,5.83,1805.9,26.2,Liberica,Agroforestry,Owned,Yes,7,193,52,1473,Natural,12.13,6,Yes,Yes,No,No,Yes,Yes,No,1
F0189,Mabini,534.2,6.39,1850.6,27.5,Arabica,Agroforestry,Shared,No,8,339,71,1426,Washed,11.58,11,Yes,No,Yes,Yes,Yes,No,No,1
F0190,Calamias,343.7,5.01,2625.2,22.6,Robusta,Monocrop,Owned,Yes,43,157,46,1080,Washed,12.89,39,Yes,Yes,Yes,Yes,Yes,No,No,1
F0191,Poblacion Barangay,547.3,6.24,2833.6,26.0,Liberica,Agroforestry,Owned,Yes,7,114,92,997,Washed,11.19,16,Yes,Yes,Yes,Yes,Yes,No,Yes,1
F0192,Poblacion Barangay,499.9,5.71,1563.2,21.4,Excelsa,Agroforestry,Owned,Yes,41,56,111,829,Washed,10.38,4,No,No,No,Yes,Yes,No,Yes,1
F0193,Mabini,312.6,6.59,1941.9,27.9,Liberica,Agroforestry,Owned,Yes,40,96,44,1326,Washed,11.82,13,Yes,Yes,Yes,Yes,Yes,No,Yes,1
F0194,San Salvador,111.2,5.19,3003.9,19.2,Liberica,Monocrop,Shared,Yes,3,318,10,1046,Washed,12.37,33,No,Yes,No,No,No,Yes,Yes,0
F0195,Barangay VIII,234.3,6.18,2813.4,24.4,Liberica,Monocrop,Owned,Yes,17,138,24,678,Washed,9.86,16,No,Yes,No,Yes,Yes,Yes,No,1
F0196,San Jose,370.8,5.96,3169.7,24.9,Liberica,Monocrop,Leased,Yes,2,267,15,1393,Washed,12.34,34,No,Yes,No,Yes,No,No,Yes,1
F0197,Bagong Pook,416.7,6.28,2708.5,25.2,Robusta,Agroforestry,Owned,Yes,15,323,100,330,Washed,10.92,0,No,No,Yes,Yes,Yes,No,Yes,1
F0198,Balintawak,228.9,5.13,1986.4,20.1,Excelsa,Monocrop,Owned,Yes,29,156,31,1533,Washed,11.35,35,Yes,Yes,Yes,No,Yes,No,No,0
F0199,San Carlos,169.7,6.16,2381.3,27.4,Liberica,Agroforestry,Owned,Yes,22,81,25,1597,Washed,10.68,14,Yes,Yes,No,Yes,Yes,Yes,No,1
F0200,Dagatan,517.5,6.12,2522.0,20.6,Liberica,Agroforestry,Leased,Yes,4,149,112,1610,Natural,14.59,18,Yes,Yes,No,Yes,Yes,Yes,No,1
F0201,Bagong Pook,592.2,6.12,1356.9,24.6,Arabica,Agroforestry,Owned,Yes,6,36,116,1318,Honey,13.1,41,Yes,Yes,No,Yes,Yes,No,Yes,0
F0202,Bagong Pook,362.8,6.21,2289.0,21.0,Liberica,Monocrop,Owned,Yes,38,38,118,1595,Washed,10.57,4,No,Yes,Yes,Yes,Yes,No,No,1
F0203,Pangao,185.8,6.35,2618.6,21.8,Liberica,Agroforestry,Owned,No,26,280,17,1649,Washed,12.87,18,No,No,No,Yes,No,Yes,Yes,1
F0204,Lumbang,236.2,6.61,1534.6,23.9,Liberica,Monocrop,Leased,Yes,11,183,90,195,Washed,14.09,42,Yes,No,Yes,Yes,No,Yes,Yes,0
F0205,San Carlos,109.2,5.54,2761.3,22.8,Excelsa,Monocrop,Leased,Yes,26,262,39,345,Washed,11.41,38,Yes,Yes,No,Yes,Yes,Yes,No,1
F0206,Poblacion Barangay,557.1,6.65,2367.5,20.4,Liberica,Agroforestry,Owned,No,17,394,51,30,Washed,13.98,4,Yes,Yes,No,No,Yes,Yes,No,1
F0207,Quezon,158.9,6.0,3104.4,20.5,Robusta,Agroforestry,Owned,Yes,24,69,90,1049,Natural,9.93,11,Yes,Yes,No,No,No,Yes,Yes,1
F0208,Anilao,388.3,5.15,1284.8,22.8,Excelsa,Agroforestry,Shared,Yes,28,116,32,1314,Natural,13.94,18,Yes,Yes,No,No,Yes,Yes,Yes,0
F0209,Inosluban,237.0,5.12,1730.7,25.8,Liberica,Agroforestry,Leased,No,35,229,25,92,Washed,12.24,11,Yes,Yes,Yes,Yes,No,No,Yes,1
F0210,Bagong Pook,377.1,5.67,2403.1,27.1,Liberica,Agroforestry,Leased,No,31,268,114,512,Washed,10.34,35,No,Yes,No,Yes,No,Yes,Yes,1
F0211,Tambo,425.7,6.57,1793.1,19.8,Excelsa,Agroforestry,Leased,Yes,13,380,22,1729,Honey,11.44,11,Yes,Yes,No,Yes,Yes,Yes,No,0
F0212,Maraouy,514.9,6.42,2628.8,22.5,Liberica,Monocrop,Leased,Yes,35,155,35,1374,Washed,14.93,17,No,Yes,Yes,Yes,Yes,No,Yes,1
F0213,Poblacion Barangay,203.2,6.58,2718.0,19.9,Robusta,Monocrop,Owned,Yes,16,61,64,1254,Washed,13.7,42,Yes,No,No,Yes,Yes,No,No,0
F0214,Barangay II,105.5,6.03,1405.0,19.1,Excelsa,Agroforestry,Shared,No,15,69,114,251,Honey,12.45,33,No,No,Yes,Yes,No,No,No,0
F0215,Poblacion Barangay,168.4,5.88,2227.7,25.0,Robusta,Agroforestry,Shared,Yes,43,43,41,181,Natural,9.69,32,Yes,Yes,No,No,Yes,Yes,No,1
F0216,Banaybanay,550.0,5.29,2217.8,24.4,Robusta,Agroforestry,Owned,Yes,18,105,25,673,Natural,11.51,17,No,Yes,Yes,No,No,No,Yes,0
F0217,Barangay VII,536.9,5.66,1938.6,20.5,Excelsa,Monocrop,Owned,No,37,98,18,655,Washed,10.58,28,Yes,No,No,No,Yes,Yes,Yes,1
F0218,Dagatan,398.7,5.87,3065.8,21.1,Excelsa,Monocrop,Shared,Yes,41,325,93,1515,Washed,9.43,44,Yes,Yes,Yes,Yes,Yes,No,Yes,1
F0219,San Francisco,400.3,5.18,2855.0,19.2,Liberica,Agroforestry,Owned,No,27,240,95,246,Washed,12.25,4,Yes,No,Yes,No,Yes,No,Yes,1
F0220,Mabini,432.5,5.44,2594.4,26.5,Liberica,Agroforestry,Shared,Yes,35,284,108,225,Washed,14.34,24,No,Yes,Yes,Yes,Yes,Yes,Yes,1
F0221,Barangay I,187.7,6.2,2628.7,27.8,Liberica,Monocrop,Owned,Yes,35,255,64,1255,Washed,13.05,23,Yes,Yes,Yes,No,Yes,Yes,No,1
F0222,Sabang,557.2,6.47,2123.4,20.2,Robusta,Agroforestry,Owned,Yes,28,120,27,1024,Natural,10.5,28,Yes,Yes,No,Yes,Yes,Yes,Yes,1
F0223,Barangay II,309.4,7.0,3042.0,21.1,Liberica,Agroforestry,Owned,No,39,243,99,1044,Natural,12.44,37,Yes,No,Yes,Yes,Yes,No,No,0
F0224,Lodlod,291.6,6.87,2589.2,26.8,Robusta,Agroforestry,Owned,Yes,38,287,115,676,Washed,14.66,32,Yes,Yes,No,No,Yes,Yes,Yes,0
F0225,Barangay VII,359.5,6.29,2658.0,27.3,Liberica,Agroforestry,Owned,Yes,9,175,33,1287,Washed,13.34,9,No,Yes,No,No,Yes,Yes,No,1
F0226,Cumba,123.5,5.84,2923.4,22.8,Robusta,Agroforestry,Owned,Yes,12,137,51,1194,Washed,13.14,36,Yes,Yes,No,Yes,No,Yes,No,1
F0227,Quezon,183.1,6.27,1748.1,19.5,Liberica,Monocrop,Leased,No,15,246,34,737,Natural,14.81,32,Yes,No,No,Yes,Yes,Yes,Yes,1
F0228,Barangay V,469.0,6.57,2814.1,19.4,Robusta,Monocrop,Shared,No,21,300,119,1551,Washed,13.79,22,No,No,Yes,Yes,Yes,No,No,0
F0229,Barangay II,141.4,5.24,1590.5,24.2,Liberica,Agroforestry,Owned,Yes,35,116,94,1608,Natural,9.82,10,No,No,Yes,No,No,No,No,0
F0230,Cumba,401.6,5.82,1890.7,22.5,Liberica,Monocrop,Owned,Yes,42,137,88,1110,Washed,11.09,23,No,No,Yes,No,No,No,No,1
F0231,Pinagkawitan,222.7,6.68,1871.2,19.3,Liberica,Agroforestry,Owned,No,33,204,42,1557,Washed,14.79,23,Yes,Yes,Yes,No,Yes,Yes,No,1
F0232,Balintawak,294.6,5.77,3157.1,24.2,Robusta,Monocrop,Owned,Yes,19,348,87,1195,Natural,11.94,6,Yes,Yes,No,Yes,Yes,Yes,Yes,1
F0233,Kayumanggi,244.3,6.14,2913.1,19.1,Liberica,Agroforestry,Owned,Yes,23,152,31,751,Washed,9.67,20,Yes,Yes,Yes,No,No,Yes,Yes,1
F0234,San Benito,277.8,6.18,2602.3,26.1,Liberica,Monocrop,Owned,Yes,13,120,93,1637,Washed,11.75,19,No,Yes,No,No,No,Yes,Yes,1
F0235,Inosluban,459.5,5.37,2654.1,21.8,Arabica,Monocrop,Owned,No,44,99,108,1789,Natural,13.18,9,Yes,No,Yes,Yes,No,Yes,Yes,0
F0236,Maraouy,248.6,5.72,2324.1,19.4,Robusta,Agroforestry,Owned,Yes,1,260,106,1592,Washed,14.99,24,Yes,No,No,Yes,Yes,No,No,0
F0237,Balintawak,383.2,5.67,3094.2,24.3,Arabica,Monocrop,Owned,Yes,29,289,91,669,Washed,10.94,35,Yes,Yes,Yes,No,Yes,Yes,No,1
F0238,Inosluban,338.0,5.05,2192.5,22.6,Liberica,Monocrop,Leased,Yes,24,342,97,135,Washed,12.08,14,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0239,Kayumanggi,431.8,5.05,1961.0,27.8,Liberica,Monocrop,Owned,Yes,16,233,19,194,Washed,14.28,43,No,No,No,No,No,Yes,No,0
F0240,Poblacion Barangay,568.4,6.66,1526.1,23.9,Excelsa,Agroforestry,Shared,Yes,25,110,63,244,Natural,11.13,39,Yes,Yes,Yes,No,Yes,Yes,No,0
F0241,Barangay III,466.3,5.55,2772.4,21.5,Liberica,Monocrop,Shared,Yes,23,141,7,1124,Natural,9.66,39,Yes,Yes,No,No,Yes,No,Yes,1
F0242,San Salvador,207.5,6.04,2668.9,25.4,Robusta,Monocrop,Shared,Yes,28,22,14,1769,Natural,14.69,5,No,Yes,Yes,No,No,Yes,Yes,1
F0243,Quezon,115.6,5.6,1968.7,21.4,Liberica,Agroforestry,Shared,Yes,16,107,83,1718,Washed,11.93,36,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0244,San Lucas,231.1,6.88,1250.4,27.1,Liberica,Monocrop,Owned,Yes,43,129,84,1632,Washed,12.02,1,No,Yes,No,Yes,Yes,Yes,No,1
F0245,San Jose,397.5,5.52,2878.0,22.4,Liberica,Agroforestry,Owned,No,38,302,21,119,Washed,12.73,11,No,Yes,Yes,No,Yes,No,No,1
F0246,Halang,125.7,5.86,1222.8,23.9,Liberica,Agroforestry,Owned,No,11,313,87,903,Natural,9.02,3,No,Yes,No,No,Yes,No,Yes,1
F0247,San Lucas,348.2,6.75,2607.4,19.5,Liberica,Agroforestry,Leased,No,3,208,15,1281,Washed,14.59,22,Yes,No,Yes,Yes,Yes,No,Yes,1
F0248,Anilao,398.4,6.68,3140.5,22.8,Liberica,Agroforestry,Shared,Yes,15,10,52,1132,Natural,11.17,12,Yes,Yes,No,Yes,Yes,Yes,No,1
F0249,Barangay VII,267.1,5.37,2075.3,26.5,Arabica,Agroforestry,Shared,Yes,1,69,9,637,Natural,11.38,16,Yes,Yes,Yes,Yes,Yes,Yes,No,0
F0250,Pangao,485.5,6.61,1669.9,26.3,Liberica,Agroforestry,Owned,Yes,7,259,73,378,Washed,10.04,30,No,No,Yes,Yes,Yes,Yes,No,1
F0251,Malagonlong,153.3,5.92,2609.7,21.0,Robusta,Monocrop,Leased,No,1,149,68,923,Washed,11.27,15,No,Yes,Yes,Yes,Yes,No,No,1
F0252,Lumbang,137.6,5.97,2834.3,21.0,Excelsa,Agroforestry,Owned,No,32,158,18,275,Washed,13.82,40,Yes,Yes,Yes,No,Yes,No,Yes,1
F0253,Plaridel,464.1,5.27,2292.9,26.4,Liberica,Agroforestry,Owned,No,9,53,54,301,Natural,13.8,25,Yes,No,Yes,Yes,Yes,No,Yes,0
F0254,Pinagtongulan,347.7,5.16,3134.1,27.4,Liberica,Agroforestry,Leased,Yes,29,380,30,432,Washed,14.61,27,Yes,Yes,No,No,Yes,Yes,Yes,1
F0255,Santol,444.2,6.46,1303.3,19.9,Robusta,Agroforestry,Owned,Yes,26,195,76,1722,Honey,11.42,0,Yes,No,No,No,Yes,No,No,0
F0256,Sampaguita,317.4,5.99,2209.6,23.1,Robusta,Monocrop,Shared,Yes,23,117,73,1169,Washed,13.25,11,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0257,Barangay III,223.2,5.87,2636.9,22.0,Robusta,Monocrop,Owned,Yes,43,53,11,1488,Honey,12.04,36,No,Yes,Yes,Yes,Yes,No,No,0
F0258,Cumba,509.6,6.46,2925.3,26.8,Robusta,Monocrop,Shared,Yes,29,87,20,1583,Washed,13.82,19,Yes,Yes,Yes,No,Yes,Yes,Yes,1
F0259,Maraouy,499.7,6.53,1558.5,19.8,Arabica,Agroforestry,Owned,No,38,235,59,1495,Washed,13.28,1,Yes,Yes,Yes,Yes,Yes,Yes,No,1
F0260,Bagong Pook,447.3,5.32,2800.0,20.9,Liberica,Agroforestry,Leased,Yes,33,171,82,1225,Natural,11.21,35,Yes,No,Yes,Yes,Yes,Yes,Yes,1
F0261,Anilao,236.1,6.22,2305.4,25.8,Liberica,Agroforestry,Leased,Yes,7,290,105,1069,Natural,11.02,14,Yes,Yes,Yes,No,No,Yes,Yes,1
F0262,Barangay VIII,395.1,5.27,1993.1,19.5,Robusta,Agroforestry,Shared,Yes,12,262,60,990,Washed,10.51,37,Yes,No,No,No,Yes,Yes,No,0
F0263,Barangay I,280.5,6.5,1463.4,23.4,Liberica,Agroforestry,Owned,No,31,141,109,927,Natural,12.46,21,Yes,No,No,Yes,Yes,No,Yes,1
F0264,San Carlos,145.8,6.31,2930.6,23.0,Excelsa,Monocrop,Shared,Yes,32,381,8,1109,Natural,14.78,43,Yes,Yes,Yes,No,Yes,Yes,No,1
F0265,Poblacion Barangay,558.7,6.91,1514.5,22.0,Liberica,Agroforestry,Owned,Yes,20,384,104,1644,Washed,10.2,31,Yes,No,Yes,No,No,Yes,Yes,1
F0266,Barangay V,168.4,5.14,1819.6,22.6,Liberica,Monocrop,Owned,No,17,153,52,1156,Washed,9.57,19,Yes,Yes,No,No,Yes,Yes,Yes,1
F0267,San Salvador,575.1,5.11,1780.1,23.8,Excelsa,Agroforestry,Owned,Yes,36,275,21,313,Natural,9.72,35,No,No,Yes,No,Yes,Yes,No,0
F0268,Sampaguita,323.0,5.56,2942.8,20.5,Liberica,Agroforestry,Leased,Yes,3,118,115,1758,Washed,13.7,32,Yes,No,No,Yes,Yes,No,No,1
F0269,Inosluban,192.6,5.52,2545.4,24.1,Liberica,Agroforestry,Owned,Yes,1,203,40,546,Washed,11.1,14,Yes,Yes,No,No,Yes,Yes,Yes,1
F0270,Cumba,371.0,5.49,2793.4,26.2,Liberica,Agroforestry,Leased,Yes,27,44,74,647,Natural,10.35,2,No,Yes,Yes,Yes,No,Yes,No,1
F0271,Balintawak,536.5,6.81,1700.9,25.8,Excelsa,Monocrop,Leased,No,40,399,84,1331,Washed,11.12,28,Yes,Yes,Yes,No,Yes,No,Yes,0
F0272,Kayumanggi,466.1,5.5,2449.7,20.4,Liberica,Agroforestry,Owned,No,33,284,97,641,Washed,12.87,26,No,Yes,No,Yes,No,No,Yes,1
F0273,Mabini,503.3,5.54,2343.5,20.3,Excelsa,Agroforestry,Shared,Yes,20,196,104,779,Honey,12.28,4,Yes,Yes,No,Yes,Yes,Yes,No,1
F0274,Quezon,429.4,6.52,2865.7,21.4,Liberica,Monocrop,Owned,Yes,14,252,42,1322,Washed,13.46,30,No,Yes,Yes,No,Yes,No,Yes,1
F0275,Mabini,446.1,5.9,3012.2,22.2,Robusta,Agroforestry,Shared,Yes,36,273,105,429,Natural,11.03,21,No,Yes,No,Yes,Yes,No,Yes,1
F0276,Barangay VII,524.6,6.55,1224.3,22.7,Excelsa,Agroforestry,Owned,Yes,5,19,116,1556,Natural,11.71,34,No,Yes,Yes,Yes,Yes,No,Yes,0
F0277,Barangay IV,224.8,5.13,2548.0,25.1,Liberica,Agroforestry,Owned,Yes,23,175,66,115,Washed,9.61,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0278,San Benito,344.7,5.98,1303.7,19.5,Liberica,Agroforestry,Owned,Yes,15,38,52,349,Washed,9.44,5,Yes,Yes,No,No,Yes,No,No,1
F0279,San Francisco,210.6,5.07,2297.7,19.3,Liberica,Monocrop,Owned,Yes,6,280,14,1085,Washed,11.77,25,Yes,Yes,No,Yes,Yes,Yes,No,1
F0280,San Lucas,593.8,5.13,1775.3,22.5,Robusta,Monocrop,Owned,No,33,96,109,365,Washed,10.81,0,Yes,No,No,Yes,No,Yes,No,1
F0281,Kayumanggi,572.0,6.81,1813.6,25.3,Liberica,Monocrop,Owned,Yes,19,32,40,80,Natural,12.68,18,No,Yes,No,Yes,Yes,Yes,No,1
F0282,Sampaguita,119.7,5.28,1905.9,20.7,Robusta,Agroforestry,Owned,Yes,13,219,33,1132,Washed,9.26,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1
F0283,Malagonlong,452.8,6.06,2442.6,24.8,Liberica,Agroforestry,Owned,Yes,29,55,82,1751,Washed,9.73,35,Yes,Yes,Yes,Yes,Yes,No,Yes,1
F0284,Sampaguita,562.6,5.82,1868.1,21.3,Liberica,Monocrop,Owned,No,6,37,8,203,Washed,14.19,11,No,No,Yes,No,Yes,Yes,Yes,1
F0285,Malagonlong,190.3,5.69,2665.4,27.0,Liberica,Agroforestry,Leased,Yes,15,35,48,1671,Washed,12.4,19,Yes,Yes,Yes,Yes,Yes,Yes,No,1
F0286,Pinagkawitan,384.0,6.8,2009.1,27.1,Liberica,Agroforestry,Owned,Yes,16,275,60,530,Washed,13.27,22,No,No,No,Yes,No,Yes,Yes,1
F0287,Halang,557.7,5.04,1336.7,21.7,Liberica,Agroforestry,Shared,Yes,24,184,46,1628,Washed,14.05,24,No,No,Yes,Yes,No,Yes,Yes,1
F0288,Halang,117.0,6.33,2767.5,21.1,Excelsa,Agroforestry,Leased,No,23,13,104,105,Washed,11.78,29,Yes,No,No,Yes,Yes,No,No,0
F0289,Bagong Pook,448.7,6.93,1771.5,22.7,Robusta,Agroforestry,Leased,Yes,10,320,118,345,Washed,13.57,28,Yes,No,No,Yes,Yes,Yes,No,0
F0290,Sampaguita,248.7,6.12,2065.5,21.2,Liberica,Monocrop,Leased,No,41,331,113,1426,Washed,12.15,30,Yes,Yes,Yes,No,Yes,No,Yes,1
F0291,Cumba,562.2,6.87,2570.9,25.1,Arabica,Monocrop,Owned,No,41,76,17,1134,Washed,10.34,17,Yes,Yes,Yes,Yes,No,No,Yes,1
F0292,San Salvador,585.5,5.1,1864.9,26.4,Robusta,Agroforestry,Leased,No,17,144,50,1693,Natural,11.03,40,No,No,No,Yes,Yes,No,No,0
F0293,San Benito,572.1,5.84,1313.2,25.1,Excelsa,Agroforestry,Owned,Yes,44,64,86,1748,Washed,11.94,18,No,No,No,No,Yes,No,No,0
F0294,Quezon,337.1,5.52,1947.8,26.4,Liberica,Agroforestry,Shared,Yes,30,40,37,726,Washed,10.9,3,Yes,No,No,Yes,No,Yes,Yes,1
F0295,Banaybanay,531.0,6.46,3088.9,22.6,Liberica,Monocrop,Leased,Yes,44,83,25,1039,Washed,11.01,0,Yes,No,Yes,No,No,No,Yes,1
F0296,Quezon,522.3,6.96,2483.5,20.4,Liberica,Agroforestry,Owned,No,10,28,84,761,Washed,11.02,40,Yes,No,Yes,Yes,Yes,No,No,1
F0297,Bubuyan,259.6,5.51,2543.0,25.6,Robusta,Monocrop,Leased,Yes,19,165,83,1124,Washed,9.74,14,Yes,Yes,Yes,Yes,No,No,No,1
F0298,Latag,514.5,6.31,2464.6,22.2,Liberica,Agroforestry,Owned,Yes,29,346,61,998,Honey,9.51,7,Yes,No,Yes,No,Yes,No,No,1
F0299,Kayumanggi,118.5,5.4,1598.0,25.0,Liberica,Agroforestry,Owned,Yes,2,165,73,883,Washed,9.28,14,Yes,No,No,Yes,Yes,No,Yes,1
F0300,Barangay IV,398.1,6.13,2036.7,21.4,Liberica,Agroforestry,Owned,Yes,36,156,74,695,Honey,9.67,14,Yes,No,No,No,Yes,No,No,1
F0301,Barangay III,215.0,5.93,2701.9,19.7,Liberica,Monocrop,Leased,Yes,19,96,106,681,Washed,11.06,38,Yes,Yes,Yes,No,No,No,Yes,1
F0302,Balintawak,160.3,6.94,1402.7,27.9,Robusta,Agroforestry,Leased,Yes,7,29,71,1124,Washed,12.56,21,Yes,No,Yes,No,Yes,Yes,Yes,0
F0303,Dagatan,138.5,6.22,1755.7,20.4,Liberica,Agroforestry,Leased,Yes,26,278,52,75,Washed,10.13,17,No,No,Yes,No,Yes,Yes,No,1
F0304,Quezon,448.1,5.7,1752.6,27.9,Liberica,Agroforestry,Owned,No,15,342,80,1100,Washed,14.33,15,No,Yes,No,No,No,Yes,Yes,1
F0305,Barangay VIII,269.9,5.23,2064.0,27.8,Robusta,Monocrop,Owned,Yes,38,52,104,1644,Washed,13.85,1,Yes,Yes,Yes,No,Yes,Yes,No,0
F0306,Lodlod,462.4,5.3,3160.7,26.1,Arabica,Monocrop,Leased,Yes,3,315,37,1475,Washed,12.12,35,Yes,Yes,No,No,No,No,Yes,0
